,Unnamed: 0,Unnamed: 0.1,序号,车型,上车时间,城 市,起点,终点,里程 [公里],金额 [元],cmplt_start_address,cmplt_ending_address,cmplt_start_address_converted,cmplt_ending_address_converted
97,97,97,98,快车,08-29 22:10 周四,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,19.78,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
98,98,98,99,快车,08-30 17:40 周五,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.7,21.28,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
99,99,99,100,快车,08-31 13:37 周六,北京市,阿泰包子(枣园路),观音寺小区25号楼,5.7,16.34,北京市阿泰包子(枣园路),北京市观音寺小区25号楼,"116.347837,39.7286","116.3473,39.7278"
100,100,100,101,快车,09-06 20:20 周五,北京市,兴华大街|枣园小区-南门对面,观音寺小区25号楼,4.3,16.95,北京市兴华大街|枣园小区-南门对面,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
101,101,101,102,快车,09-07 12:33 周六,北京市,兴华大街|吉野家(枣园路店),观音寺小区25号楼,6.3,29.21,北京市兴华大街|吉野家(枣园路店),北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
102,102,102,103,快车,09-09 13:14 周一,北京市,观音寺北里小区,兴华大街|绿地中央广场(高米店),4.8,15.52,北京市观音寺北里小区,北京市兴华大街|绿地中央广场(高米店),"116.34875,39.7308","116.332131,39.7562"
103,103,103,104,快车,09-12 16:25 周四,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.1,16.04,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
104,104,104,105,快车,09-12 17:42 周四,北京市,观音寺-北门,黄村西大街-地铁站,1.6,14,北京市观音寺-北门,北京市黄村西大街-地铁站,"116.347837,39.7286","116.332631,39.7317"
105,105,105,106,快车,09-13 09:46 周五,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4.1,15.28,北京市兴华大街|北京石油化工学院-南门,北京市观音寺小区25号楼,"116.325793,39.7462","116.3473,39.7278"
106,106,106,107,快车,09-24 09:18 周二,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.9,17.14,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
107,107,107,108,快车,09-27 09:21 周五,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.2,17.58,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
108,108,108,109,快车,09-28 17:43 周六,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4.1,15.28,北京市兴华大街|北京石油化工学院-南门,北京市观音寺小区25号楼,"116.325793,39.7462","116.3473,39.7278"
109,109,109,110,快车,10-02 19:09 周三,北京市,兴丰大街|肯德基(绿地缤纷城北区)东南侧,大兴区黄村镇一中心观音寺小学,4.7,15.6,北京市兴丰大街|肯德基(绿地缤纷城北区)东南侧,北京市大兴区黄村镇一中心观音寺小学,"116.339495,39.7279","116.349812,39.7297"
110,110,110,111,快车,10-02 20:55 周三,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.6,16.55,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
111,111,111,112,快车,10-02 21:33 周三,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.3,16.89,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
112,112,112,113,快车,10-03 13:44 周四,北京市,兴盛街189号院-东2门,枣园-地铁站,1.3,13,北京市兴盛街189号院-东2门,北京市枣园-地铁站,"116.317729,39.7522","116.332204,39.7534"
113,113,113,114,快车,10-03 17:11 周四,北京市,"黄村|北京市大兴区疾病预防控制中心
-南门",大兴区黄村镇一中心观音寺小学,1.6,13,"北京市黄村|北京市大兴区疾病预防控制中心
-南门",北京市大兴区黄村镇一中心观音寺小学,"116.346341,39.7269","116.349812,39.7297"
114,114,114,115,快车,10-04 21:54 周五,北京市,"兴业大街|中国工商银行(丽园路支行
)对面",观音寺小区25号楼,4.6,17.55,"北京市兴业大街|中国工商银行(丽园路支行
)对面",北京市观音寺小区25号楼,"116.322511,39.7764","116.3473,39.7278"
115,115,115,116,快车,10-07 11:11 周一,北京市,观音寺-北门,荟聚・西红门购物中心地下停车场-出入口,7.8,22.14,北京市观音寺-北门,北京市荟聚・西红门购物中心地下停车场-出入口,"116.347837,39.7286","116.325754,39.7899"
116,116,116,117,快车,10-07 21:42 周一,北京市,兴华园-公交站路西,观音寺小区25号楼,3.7,15.55,北京市兴华园-公交站路西,北京市观音寺小区25号楼,"116.329666,39.7633","116.3473,39.7278"
117,117,117,118,快车,10-08 10:17 周二,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.3,15.32,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
118,118,118,119,快车,10-08 21:47 周二,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.2,17.35,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
119,119,119,120,快车,10-09 13:13 周三,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.2,14.68,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
120,120,120,121,快车,10-14 19:27 周一,北京市,兴业大街|北京石油化工学院-北1门,观音寺小区25号楼,4.5,18.08,北京市兴业大街|北京石油化工学院-北1门,北京市观音寺小区25号楼,"116.324701,39.7499","116.3473,39.7278"
121,121,121,122,快车,10-19 19:08 周六,北京市,观音寺-北门,兴华大街|最・影城,3.1,13.15,北京市观音寺-北门,北京市兴华大街|最・影城,"116.347837,39.7286","116.332131,39.7562"
122,122,122,123,快车,11-02 22:36 周六,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,17.77,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
123,123,123,124,快车,11-05 11:33 周二,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.1,14.6,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
124,124,124,125,快车,11-05 15:52 周二,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.7,13.14,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
125,125,125,126,快车,11-10 16:06 周日,北京市,兴华大街|彩虹新城-西1门,大兴区黄村镇一中心观音寺小学,3.6,7.92,北京市兴华大街|彩虹新城-西1门,北京市大兴区黄村镇一中心观音寺小学,"116.332131,39.7562","116.349812,39.7297"
126,126,126,127,快车,11-10 18:05 周日,北京市,观音寺-北门,大兴区|康泰园,6.19,20.62,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
127,127,127,128,快车,11-21 12:40 周四,北京市,知春路|泛亚大厦-北门,学院路|北京科技大学-东2门,5.8,16.03,北京市知春路|泛亚大厦-北门,北京市学院路|北京科技大学-东2门,"116.33996,39.9764","116.353207,39.9894"
128,128,128,129,快车,11-21 13:20 周四,北京市,学院路|北京科技大学-东2门,定福庄|北京第二外国语学院,27.36,47.72,北京市学院路|北京科技大学-东2门,北京市定福庄|北京第二外国语学院,"116.353207,39.9894","116.559329,39.9168"
129,129,129,130,快车,11-24 17:40 周日,北京市,将台路|将台地铁站C东南口,将台路|ZMAX HOTELS北京酒仙桥丽都798酒店(北京7…,1.7,13,北京市将台路|将台地铁站C东南口,北京市将台路|ZMAX HOTELS北京酒仙桥丽都798酒店(北京7…,"116.488955,39.9730","116.488955,39.9730"
130,130,130,131,快车,11-29 18:11 周五,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.4,21.11,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
131,131,131,132,快车,11-29 19:30 周五,北京市,大兴区黄村镇一中心观音寺小学-西门,黄村西大街地铁站A西北口,1.7,14,北京市大兴区黄村镇一中心观音寺小学-西门,北京市黄村西大街地铁站A西北口,"116.34896,39.729","116.331741,39.7320"
132,132,132,133,快车,11-30 14:31 周六,北京市,观音寺-北门,大兴区|康泰园,6.2,23.43,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
133,133,133,134,快车,12-01 13:44 周日,北京市,观音寺-北门,兴华大街|咖啡一色(石化学院丽园小区东南),4.1,9.74,北京市观音寺-北门,北京市兴华大街|咖啡一色(石化学院丽园小区东南),"116.347837,39.7286","116.332131,39.7562"
134,134,134,135,快车,12-04 22:30 周三,北京市,兴华大街|艾莎菲尔(大兴七店),观音寺小区25号楼,4.2,16.7,北京市兴华大街|艾莎菲尔(大兴七店),北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
135,135,135,136,快车,12-07 16:07 周六,北京市,康庄路|康泰园-南门,观音寺小区25号楼,6.3,22.25,北京市康庄路|康泰园-南门,北京市观音寺小区25号楼,"116.325202,39.7572","116.3473,39.7278"
136,136,136,137,快车,12-09 13:08 周一,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,4,13.68,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
137,137,137,138,快车,12-27 16:14 周五,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,12.38,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
138,138,138,139,快车,12-27 17:52 周五,北京市,观音寺-北门,兴丰大街|盛和轩烤鸭店(彩虹新城店),3,14.06,北京市观音寺-北门,北京市兴丰大街|盛和轩烤鸭店(彩虹新城店),"116.347837,39.7286","116.337583,39.7499"
139,139,139,140,快车,12-27 23:27 周五,北京市,康庄西巷|北京大兴华夏村镇银行,兴华大街|绿地中央广场(高米店),2.8,13.3,北京市康庄西巷|北京大兴华夏村镇银行,北京市兴华大街|绿地中央广场(高米店),"116.311309,39.7535","116.332131,39.7562"
140,140,140,141,快车,12-28 08:51 周六,北京市,大望路|LGD(金地广场店),朝阳区|奥加美术馆酒店,0,4,北京市大望路|LGD(金地广场店),北京市朝阳区|奥加美术馆酒店,"116.475783,39.9082","116.443136,39.9214"
141,141,141,142,快车,12-28 08:57 周六,北京市,大望路|北京银行(现代城支行),朝阳区|奥加美术馆酒店,7,18.43,北京市大望路|北京银行(现代城支行),北京市朝阳区|奥加美术馆酒店,"116.475783,39.9082","116.443136,39.9214"
142,142,142,143,快车,12-28 17:13 周六,北京市,旗舰路|海通・梧桐苑-北门,朝阳区|幸福二村34号院,23.4,77.81,北京市旗舰路|海通・梧桐苑-北门,北京市朝阳区|幸福二村34号院,"116.643832,39.8754","116.443136,39.9214"
143,143,143,144,快车,12-31 10:10 周二,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,3.8,14.12,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
144,144,144,145,快车,01-01 18:02 周三,北京市,兴华大街|枣园地铁站C东南口附近-上车点,大兴区|康泰园,2.9,13,北京市兴华大街|枣园地铁站C东南口附近-上车点,北京市大兴区|康泰园,"116.332131,39.7562","116.341483,39.7269"
145,145,145,146,快车,01-07 10:29 周二,北京市,观音寺-北门,兴华大街|北京印刷学院-北门,3.3,13.42,北京市观音寺-北门,北京市兴华大街|北京印刷学院-北门,"116.347837,39.7286","116.330411,39.7461"
146,146,146,147,快车,01-08 11:48 周三,北京市,观音寺-北门,大兴区|康泰园,6.2,18.98,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
147,147,147,148,快车,01-11 13:15 周六,北京市,观音寺-北门,大兴区|康泰园,6.3,21.21,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
148,148,148,149,快车,01-12 10:45 周日,北京市,观音寺-北门,荟聚・西红门购物中心-东北门,7.8,24.54,北京市观音寺-北门,北京市荟聚・西红门购物中心-东北门,"116.347837,39.7286","116.327817,39.7898"
149,149,149,150,快车,01-12 12:05 周日,北京市,地铁西红门站-公交站路西,比格比萨(西红门新都荟店),1.9,13,北京市地铁西红门站-公交站路西,北京市比格比萨(西红门新都荟店),"116.329071,39.7884","116.352527,39.9239"
150,150,150,151,快车,01-13 20:12 周一,北京市,康庄路|康泰园-南门,大兴区黄村西大街26号首都医科大学大兴医院|首都医科大学大兴医…,4.6,16.64,北京市康庄路|康泰园-南门,北京市大兴区黄村西大街26号首都医科大学大兴医院|首都医科大学大兴医…,"116.325202,39.7572","116.334382,39.7309"
151,151,151,152,快车,01-14 16:14 周二,北京市,康庄路|康泰园-南门,黄村|首都医科大学大兴医院-北1门,4.5,15.6,北京市康庄路|康泰园-南门,北京市黄村|首都医科大学大兴医院-北1门,"116.325202,39.7572","116.346341,39.7269"
152,152,152,153,快车,01-16 13:51 周四,北京市,观音寺-北门,黄村火车站地铁站A西北口,2.8,13,北京市观音寺-北门,北京市黄村火车站地铁站A西北口,"116.347837,39.7286","116.332274,39.7234"
153,153,153,154,快车,01-19 15:05 周日,北京市,观音寺-北门,大兴区兴业大街与枣园路交叉口西 150米丽园-B区|丽园B区-北…,4.6,17.24,北京市观音寺-北门,北京市大兴区兴业大街与枣园路交叉口西 150米丽园-B区|丽园B区-北…,"116.347837,39.7286","116.319891,39.7528"
154,154,154,155,快车,01-20 21:47 周一,北京市,鑫手勺东北菜(康庄路店)西南侧,观音寺小区25号楼,6.3,23.38,北京市鑫手勺东北菜(康庄路店)西南侧,北京市观音寺小区25号楼,"116.414092,40.0883","116.3473,39.7278"
155,155,155,156,快车,01-22 14:35 周三,北京市,观音寺-北门,大兴区|康泰园,6.1,23.84,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
156,156,156,157,快车,01-22 15:04 周三,北京市,鑫手勺东北菜(康庄路店),黄村西大街-地铁站,4.5,20.1,北京市鑫手勺东北菜(康庄路店),北京市黄村西大街-地铁站,"116.414092,40.0883","116.332631,39.7317"
157,157,157,158,快车,01-22 15:35 周三,北京市,黄村|首都医科大学大兴医院-北门,大兴区|康泰园,5.6,23.14,北京市黄村|首都医科大学大兴医院-北门,北京市大兴区|康泰园,"116.346341,39.7269","116.341483,39.7269"
158,158,158,159,快车,01-22 17:11 周三,北京市,鑫手勺东北菜(康庄路店),观音寺小区25号楼,6.36,26.56,北京市鑫手勺东北菜(康庄路店),北京市观音寺小区25号楼,"116.414092,40.0883","116.3473,39.7278"
159,159,159,160,快车,01-24 12:15 周五,北京市,观音寺-北门,大兴区|康泰园,6.2,30.03,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
160,160,160,161,快车,01-25 13:52 周六,北京市,鑫手勺东北菜(康庄路店)西南侧,大兴区|天堂河小区北区,13.9,45.98,北京市鑫手勺东北菜(康庄路店)西南侧,北京市大兴区|天堂河小区北区,"116.414092,40.0883","116.341483,39.7269"
161,161,161,162,快车,01-27 12:27 周一,北京市,观音寺-北门,大兴区|康泰园,6.2,33.03,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
162,162,162,163,滴滴快车,04-01 11:52 周四,北京市,鲁谷|北京石景山万达广场-西门,石景山区|北方工业大学-南门,4.6,15.32,北京市鲁谷|北京石景山万达广场-西门,北京市石景山区|北方工业大学-南门,"116.238542,39.9011","116.223015,39.9063"
163,163,163,164,滴滴专车,04-01 12:13 周四,北京市,八角东街|北方工业大学-南门,荟聚购物中心(西红门店)北侧-下车点,26.6,81.82,北京市八角东街|北方工业大学-南门,北京市荟聚购物中心(西红门店)北侧-下车点,"116.206945,39.922","116.326497,39.7881"
164,164,164,165,滴滴快车,04-01 14:33 周四,北京市,地铁西红门站-公交站(欣宁街)路西,观音寺北里小区-东门,7.7,20.58,北京市地铁西红门站-公交站(欣宁街)路西,北京市观音寺北里小区-东门,"116.327804,39.7971","116.348768,39.7296"
165,165,165,166,滴滴快车,04-01 18:35 周四,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.8,15.32,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
166,166,166,167,滴滴快车,04-01 21:43 周四,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,3.7,15.58,北京市兴华大街|北京石油化工学院-南门,北京市观音寺小区25号楼,"116.325793,39.7462","116.3473,39.7278"
167,167,167,168,滴滴快车,04-04 11:48 周日,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.5,15.3,北京市观音寺-北门,北京市兴华大街|枣园尚城南区-北门,"116.347837,39.7286","116.332131,39.7562"
168,168,168,169,滴滴快车,04-06 22:04 周二,北京市,兴华大街|枣园-C口(东南口),观音寺小区25号楼,6.7,24.93,北京市兴华大街|枣园-C口(东南口),北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
169,169,169,170,滴滴快车,04-07 09:28 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.8,15.32,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
170,170,170,171,滴滴快车,04-07 21:35 周三,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4,16.25,北京市兴华大街|北京石油化工学院-南门,北京市观音寺小区25号楼,"116.325793,39.7462","116.3473,39.7278"
171,171,171,172,滴滴快车,04-08 23:04 周四,北京市,兴华大街|枣园小区-南门南侧,观音寺北里小区-东门,3.7,15.58,北京市兴华大街|枣园小区-南门南侧,北京市观音寺北里小区-东门,"116.332131,39.7562","116.348768,39.7296"
172,172,172,173,滴滴快车,04-10 13:25 周六,北京市,兴华大街|北京石油化工学院-南门,荟聚购物中心(西红门店)北侧-下车点,5.2,15.18,北京市兴华大街|北京石油化工学院-南门,北京市荟聚购物中心(西红门店)北侧-下车点,"116.325793,39.7462","116.326497,39.7881"
173,173,173,174,滴滴快车,04-13 21:02 周二,北京市,兴华大街|彩虹新城-西门对面,观音寺小区25号楼,3.5,15.13,北京市兴华大街|彩虹新城-西门对面,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
174,174,174,175,滴滴快车,04-14 09:31 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.5,14.83,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
175,175,175,176,滴滴快车,04-21 20:19 周三,北京市,兴华大街|兴创大厦-北门,兴华大街|枣园尚城南区-北门,1.3,14,北京市兴华大街|兴创大厦-北门,北京市兴华大街|枣园尚城南区-北门,"116.332131,39.7562","116.332131,39.7562"
176,176,176,177,滴滴快车,04-28 07:01 周三,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.4,17.91,北京市观音寺-北门,北京市兴华大街|枣园尚城南区-北门,"116.347837,39.7286","116.332131,39.7562"
177,177,177,178,滴滴快车,04-28 19:55 周三,北京市,兴业大街|北京石油化工学院-北门,观音寺小区25号楼,4.2,15.98,北京市兴业大街|北京石油化工学院-北门,北京市观音寺小区25号楼,"116.328622,39.7500","116.3473,39.7278"
178,178,178,179,滴滴快车,04-29 22:12 周四,北京市,宣武门地铁站E口,崇文门|北京汇,3.86,12.27,北京市宣武门地铁站E口,北京市崇文门|北京汇,"116.373498,39.8897","116.417093,39.9010"
179,179,179,180,滴滴快车,05-02 15:57 周日,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.5,15.3,北京市观音寺-北门,北京市兴华大街|枣园尚城南区-北门,"116.347837,39.7286","116.332131,39.7562"
180,180,180,181,滴滴快车,05-02 21:07 周日,北京市,兴华大街|枣园尚城南区-东门,观音寺小区25号楼,4.2,16.66,北京市兴华大街|枣园尚城南区-东门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
181,181,181,182,滴滴快车,05-04 16:19 周二,北京市,新源大街|奈雪的茶(北京凯德天宫院店),观音寺小区25号楼,8.9,25.03,北京市新源大街|奈雪的茶(北京凯德天宫院店),北京市观音寺小区25号楼,"116.31758,39.7190","116.3473,39.7278"
182,182,182,183,滴滴快车,05-08 22:59 周六,北京市,兴华大街|北京印刷学院-东门,观音寺小区25号楼,3.2,14.45,北京市兴华大街|北京印刷学院-东门,北京市观音寺小区25号楼,"116.332145,39.7438","116.3473,39.7278"
183,183,183,184,滴滴快车,05-10 16:02 周一,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4,14.4,北京市兴华大街|北京石油化工学院-南门,北京市观音寺小区25号楼,"116.325793,39.7462","116.3473,39.7278"
184,184,184,185,滴滴快车,05-12 19:15 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,2.9,14,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
185,185,185,186,滴滴快车,05-16 12:01 周日,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.3,15.29,北京市观音寺-北门,北京市兴华大街|枣园尚城南区-北门,"116.347837,39.7286","116.332131,39.7562"
186,186,186,187,滴滴快车,05-19 21:31 周三,北京市,兴华大街|北京石油化工学院-北3门对面,观音寺小区25号楼,4.8,18.05,北京市兴华大街|北京石油化工学院-北3门对面,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
187,187,187,188,滴滴快车,05-22 13:11 周六,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.9,14.58,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
188,188,188,189,滴滴专车,05-22 16:01 周六,北京市,建国门地铁站B口,朝阳区|幸福二村小区34号院,4.4,25.79,北京市建国门地铁站B口,北京市朝阳区|幸福二村小区34号院,"116.436877,39.9090","116.443136,39.9214"
